"Gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"SEPTIN10"	"SEPTIN10"	-4.23668916594852	7.35920005467347	-63.2195496936028	1.18052572581484e-81	2.38265507241208e-77	175.472043779632
"SCARA5"	"SCARA5"	-6.27873626002849	8.80582511142857	-45.5408742667784	4.57788382279602e-68	4.6197714597746e-64	144.939790817087
"CTNNA1"	"CTNNA1"	-4.1224835536544	7.07466902795918	-44.4375114512243	4.60682468710143e-67	3.09931808865894e-63	142.664129734343
"MAMDC2"	"MAMDC2"	-4.68341190728584	7.61638332928571	-43.0670102939368	8.72543243350831e-66	4.40263507013745e-62	139.761673866051
"LINC01133"	"LINC01133"	-3.24930499956525	6.85125403505102	-42.0464545629036	8.24145453483172e-65	3.32674553753017e-61	137.543295978493
"NOTCH2"	"NOTCH2"	-3.24091964325275	8.5894125004898	-41.4995000363583	2.80170891538881e-64	9.42448183988207e-61	136.333575000509
"DCT"	"DCT"	-5.78126948393106	8.37404917892857	-41.0146280778407	8.39031032163858e-64	2.41916618888045e-60	135.248694353188
"FCER1A"	"FCER1A"	-5.37261671472609	8.38988905305102	-40.8734677226033	1.15718226254525e-63	2.91942620061884e-60	134.930617247251
"MBNL2"	"MBNL2"	-3.29365434312132	7.14809077730612	-40.3230342674685	4.09232636986851e-63	9.17726923589513e-60	133.680537725082
"GSN"	"GSN"	-4.55425906886948	8.13804626057143	-40.0644507041844	7.44689092359936e-63	1.50300599511006e-59	133.087827202941
"MPP7"	"MPP7"	-4.81852238522517	7.67034047047959	-39.9567552488254	9.5653518209537e-63	1.75506814365735e-59	132.839934310537
"IL37"	"IL37"	-4.89518102161396	7.58164553139796	-39.7569206767541	1.52453113327312e-62	2.56413432190428e-59	132.378324258797
"SERPINA12"	"SERPINA12"	-5.97540264800734	8.8382026827449	-39.6691999487238	1.87190095706763e-62	2.90619823203815e-59	132.175019478638
"CCL27"	"CCL27"	-5.31152271256249	7.85413619507143	-39.2630560978343	4.86754238790003e-62	7.01725771535617e-59	131.22832124373
"CHP2"	"CHP2"	-3.994676092034	8.74611876689796	-38.8973939626593	1.1593587130444e-61	1.55995579369168e-58	130.368290795296
"POF1B"	"POF1B"	-5.23215820529227	7.56849091844898	-38.7455479331968	1.66590403380162e-61	2.10143381963863e-58	130.008982873343
"NTRK2"	"NTRK2"	-4.13316198189337	7.88262959020408	-38.6288649560398	2.20289601183611e-61	2.61535589452284e-58	129.732007751941
"VAV3"	"VAV3"	-3.33847857705422	6.38786072558163	-37.8197782414815	1.56078698990894e-60	1.74380150070769e-57	127.79028306728
"ERLIN1"	"ERLIN1"	-2.58169173424356	6.40052939286735	-37.7953533958357	1.65676327242495e-60	1.74380150070769e-57	127.731083216575
"BCHE"	"BCHE"	-3.72430463727572	6.66552972820408	-37.7781331978022	1.72799038865153e-60	1.74380150070769e-57	127.689324900756
"PRNP"	"PRNP"	-2.91479318122794	8.18690079771429	-37.5844954152745	2.77720345412123e-60	2.66915701497757e-57	127.218574449571
"SCEL"	"SCEL"	-6.72231929911396	8.98939955471429	-37.3324233041361	5.16711724553151e-60	4.74036033484374e-57	126.602479713885
"C1S"	"C1S"	-4.69973301869577	7.50890575034694	-37.2652439294735	6.10066240533815e-60	5.13575748471191e-57	126.437653579043
"KLF3"	"KLF3"	-3.05895706463143	7.15404146414286	-37.2648223116122	6.10702966026288e-60	5.13575748471191e-57	126.436618286855
"C1orf68"	"C1orf68"	-4.24756707184557	9.15784636207143	-37.1535480382139	8.04548518188278e-60	6.49528109703761e-57	126.163013221566
"DKK2"	"DKK2"	-4.22862699405697	6.86006130356122	-36.8367139886877	1.77072949767262e-59	1.37456282505871e-56	125.379924189605
"PLP1"	"PLP1"	-4.26211114017921	7.24967873073469	-36.5997105506264	3.20702213134212e-59	2.39730843247696e-56	124.790192643686
"KRT77"	"KRT77"	-5.95621519892187	9.17407140813265	-36.4462800860894	4.71914768438531e-59	3.40166277549816e-56	124.406592586811
"CPNE3"	"CPNE3"	-3.97151685260477	8.99428588152041	-35.1456378557351	1.32109696305556e-57	9.19437931218979e-55	121.09588036082
"CD46"	"CD46"	-2.56154917677389	7.89767074335714	-35.0697498486281	1.60981078203459e-57	1.08302703379347e-54	120.899386831872
"DSC1"	"DSC1"	-7.65034112353308	10.0996072424286	-34.7982881087428	3.27445315679401e-57	2.13188026011528e-54	120.193430534422
"PDLIM5"	"PDLIM5"	-3.16297297299632	7.02747794671429	-34.7134155883007	4.09231495545227e-57	2.54821774536209e-54	119.971721800811
"RAI2"	"RAI2"	-3.40534960935386	7.36678770661224	-34.7065902534892	4.16643638690725e-57	2.54821774536209e-54	119.953871655064
"KLF5"	"KLF5"	-5.03766652335753	8.15969548978571	-34.6698901203013	4.58886170017597e-57	2.72402928513681e-54	119.857837877504
"LCE2B"	"LCE2B"	-6.74596603545955	9.19431419683673	-34.4855277617201	7.46385367487094e-57	4.30408453485486e-54	119.374064204674
"PTGFR"	"PTGFR"	-3.31300876072518	7.66880558387755	-34.1946439584088	1.61524607475848e-56	9.05569764634732e-54	118.606161339562
"LRRN4CL"	"LRRN4CL"	-3.68140110369301	8.16622114970408	-34.0151542133297	2.60811375844092e-56	1.422690810449e-53	118.129483195224
"RNASE4"	"RNASE4"	-4.34421127989062	8.29860276038776	-33.5380748254543	9.41796278885532e-56	5.00217744651229e-53	116.851787156497
"PAFAH1B1"	"PAFAH1B1"	-2.57467067594577	6.64349643867347	-33.3920509395815	1.39948985999881e-55	7.24253944727079e-53	116.457567849252
"AQP1"	"AQP1"	-3.95098469615349	9.00343426781633	-33.1403886193064	2.77912829295846e-55	1.40227865841951e-52	115.774655371153
"CTSG"	"CTSG"	-3.64306912114245	7.96197716618367	-33.0254958754642	3.80678599715894e-55	1.84463275913937e-52	115.461396969465
"PALMD"	"PALMD"	-4.35508836278859	8.78035925108163	-33.0224609565058	3.83860555337926e-55	1.84463275913937e-52	115.453109489082
"CP"	"CP"	-3.68552105256525	6.15041601226531	-32.9376782479848	4.84478199084741e-55	2.27400546328542e-52	115.221327903522
"LRIG3"	"LRIG3"	-3.74973697791636	7.24215887322449	-32.910343416678	5.22295776761014e-55	2.39579446871989e-52	115.146489964021
"CPA3"	"CPA3"	-4.81165592595955	8.81462138618367	-32.677005932513	9.94223769431619e-55	4.45920407520853e-52	114.505476217211
"PLPP3"	"PLPP3"	-5.36049615300367	9.90991941261225	-32.5808379317088	1.2977458146894e-54	5.69400082127743e-52	114.2401479516
"DDX42"	"DDX42"	-2.78544406474724	7.68962801487755	-32.5397107138073	1.45465167751516e-54	6.20846545291862e-52	114.12647337864
"EXPH5"	"EXPH5"	-5.11327063151561	8.70009295926531	-32.534336872241	1.47652153664021e-54	6.20846545291862e-52	114.111611160348
"BBOX1"	"BBOX1"	-5.09728376482352	7.95782329720408	-32.5133459649493	1.56517549766111e-54	6.44692593250903e-52	114.053537368095
"PSEN1"	"PSEN1"	-2.2440019540818	7.52747221994898	-32.4010746518479	2.13913046670424e-54	8.60115377355376e-52	113.7423817002
"AADACL2"	"AADACL2"	-5.18209482681709	7.59032183384694	-32.392672055857	2.18981325630588e-54	8.60115377355376e-52	113.719057281277
"CYP4F12"	"CYP4F12"	-2.81472778681158	6.72736366229592	-32.3884034095874	2.21602336731306e-54	8.60115377355376e-52	113.70720614817
"SLAIN2"	"SLAIN2"	-2.53004530692187	6.08461416515306	-32.3163573677693	2.7093956024862e-54	1.03176851782979e-51	113.506982251394
"SLC20A1"	"SLC20A1"	2.89003096798805	8.80676999067347	32.1709157181796	4.07002040313275e-54	1.52120781104497e-51	113.10162402892
"CFD"	"CFD"	-5.21308496034925	10.6521194231633	-32.1570782869771	4.2310164252823e-54	1.5386696774676e-51	113.062976844121
"KLF4"	"KLF4"	-4.37918446051194	8.4929593834898	-32.1538734482502	4.26921180885822e-54	1.5386696774676e-51	113.054023891415
"GULP1"	"GULP1"	-3.17791015868382	7.3864858099898	-32.0632685684452	5.50584051090448e-54	1.94955050932605e-51	112.800598534134
"MFAP3L"	"MFAP3L"	-4.54400853048069	8.11862753844898	-32.0013268078081	6.55388496405056e-54	2.28063896947297e-51	112.626995199204
"PICALM"	"PICALM"	-2.97030246793657	7.41691897005102	-31.9557708138941	7.45130825734456e-54	2.54897889081331e-51	112.499134192764
"BNIPL"	"BNIPL"	-2.68499916263051	6.1492197769898	-31.9214665519581	8.20812701048282e-54	2.76107712420958e-51	112.402751239228
"KLF8"	"KLF8"	-2.86937739310202	6.2791640592449	-31.8951726311708	8.84037694472282e-54	2.92500537500558e-51	112.328815156611
"PPM1E"	"PPM1E"	5.42401998004688	5.83169704667347	31.7218154586943	1.4437541440006e-53	4.6742954019285e-51	111.840056442385
"PIK3C2A"	"PIK3C2A"	-2.53626423752757	6.48181576053061	-31.7180986426793	1.45905271922655e-53	4.6742954019285e-51	111.829552661414
"ADH1B"	"ADH1B"	-6.09168982747334	8.48760395626531	-31.7069361326399	1.50598871348026e-53	4.74927659440187e-51	111.798000983962
"ISL1"	"ISL1"	6.55063786075552	7.76820773937755	31.6094420960985	1.98651152167629e-53	6.16827108338346e-51	111.522027618919
