"Gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"F2RL2"	"F2RL2"	-2.25488471278947	5.9439481697551	-7.47167309565354	3.53689543429941e-11	7.1385160550465e-07	14.548609945132
"LINC01558"	"LINC01558"	1.16116966086125	4.29541608671429	7.03599366625079	2.84133119095243e-10	2.86732937134965e-06	12.6741423543531
"APCDD1"	"APCDD1"	-2.23891308761244	9.86596999638775	-6.76846541326616	1.00344020848136e-09	6.75081124259307e-06	11.5375033684359
"RAB31"	"RAB31"	-1.39627860455981	8.71449368395918	-6.66971263356526	1.59248960376726e-09	8.03530441820864e-06	11.1212087868297
"CTSK"	"CTSK"	-1.93159936711961	10.6904705710714	-6.43280922520028	4.77746744395669e-09	1.92847250842756e-05	10.1306205258068
"LOC441179"	"LOC441179"	1.81587201151675	4.64278692952041	6.28853970522346	9.26255635758699e-09	3.11576958275297e-05	9.53346790810264
"TWIST2"	"TWIST2"	-1.48218905161244	8.46970330473469	-6.14079822161888	1.81395782678385e-08	5.23015868828262e-05	8.92717696065701
"SFRP2"	"SFRP2"	-2.76507806142105	10.5571321547143	-6.04095799288519	2.84668281772585e-08	7.18182491377011e-05	8.52065413319101
"AEBP1"	"AEBP1"	-1.5623943573732	9.79310768146939	-5.92147444050685	4.86225943564525e-08	0.000109038869099587	8.03773453268278
"FZD10"	"FZD10"	-1.29202368187081	7.15206395746939	-5.89161566346339	5.55440298189716e-08	0.00011210451538363	7.91768707439137
"COL8A2"	"COL8A2"	-1.21660815314833	6.85597129468367	-5.86459044326152	6.26390473950982e-08	0.000114931263052297	7.80925611170578
"CD109"	"CD109"	-1.53241160985167	9.01504620245918	-5.6645914925236	1.51342633909715e-07	0.000254545698349982	7.01368935671153
"CAPG"	"CAPG"	-1.26183891211005	8.94480143627551	-5.50095624320246	3.08291488156687e-07	0.000478634392728185	6.3722859713653
"GLI3"	"GLI3"	-1.13829652256937	8.17629689259184	-5.47922536497299	3.38595622218614e-07	0.000488133960231305	6.28778561269144
"PRRX1"	"PRRX1"	-1.64800874721531	10.1075907746122	-5.44005180313334	4.0076874000911e-07	0.000539247698640258	6.13587339970587
"LAMP5"	"LAMP5"	-1.04599683128708	5.08679709826531	-5.32670726949498	6.50592892683864e-07	0.000820682272064902	5.69939890416976
"MFAP2"	"MFAP2"	-1.55521129827751	8.55846764582653	-5.25325755330091	8.88198487334265e-07	0.00103298024771064	5.41905927399213
"EGFLAM"	"EGFLAM"	-0.705006237497606	7.45250897728571	-5.24460348057125	9.21252760183894e-07	0.00103298024771064	5.38616173419467
"RNA45SN5"	"RNA45SN5"	1.10029448514833	6.83074469592857	5.23052920465549	9.77594461005711e-07	0.00103846257928833	5.33272043045271
"KIF26B"	"KIF26B"	-1.08548633724402	6.14027287359184	-5.18719368081563	1.17305764929181e-06	0.00118379112678283	5.16864636067451
"MXRA5"	"MXRA5"	-1.62777815975119	10.0186098358469	-5.16924248669629	1.26477649077577e-06	0.0012155706625394	5.10089266153586
"COL10A1"	"COL10A1"	-1.33304554321053	5.75311140176531	-5.13429540701946	1.46385591123507e-06	0.00132607565268384	4.96935115109924
"CXCL14"	"CXCL14"	-2.32155290052153	11.784082187949	-5.12667612761931	1.51115988761474e-06	0.00132607565268384	4.94073569020653
"LAMA2"	"LAMA2"	-1.17721718962679	7.45870530743878	-5.07876287792381	1.84470222255002e-06	0.00155131770657196	4.76131749004555
"ASPN"	"ASPN"	-1.58676256786603	8.91731251793878	-5.00038318531903	2.5510065012757e-06	0.0020594785686099	4.46980847003721
"TMEM204"	"TMEM204"	-0.737362148889952	7.73289434881633	-4.98964559240867	2.66630304358504e-06	0.00206976901264142	4.43006929406705
"INHBA"	"INHBA"	-1.42752831841148	7.88017356473469	-4.97695111778197	2.80917169560337e-06	0.00208267529120745	4.38314945777725
"SERPINE2"	"SERPINE2"	-1.15718161247368	8.91291945007143	-4.96959525596586	2.89534226374155e-06	0.00208267529120745	4.35599224988865
"IQSEC1"	"IQSEC1"	-0.512484388440188	7.65361881228571	-4.96155323382973	2.99249781722321e-06	0.00208267529120745	4.32632763089273
"S100A4"	"S100A4"	-1.22322687879426	11.6137890667551	-4.92078679504179	3.5359508777122e-06	0.00237886988549551	4.17637017595264
"LUM"	"LUM"	-1.92926050864593	10.3802952845714	-4.87755209538488	4.21714624133144e-06	0.00274563427705782	4.0181038490813
"LRRC15"	"LRRC15"	-2.02037366644976	7.7893120924898	-4.84191372023285	4.873213698735e-06	0.00307362725254901	3.88824928313605
"HTRA1"	"HTRA1"	-1.05018814925358	10.250338478898	-4.82315360371591	5.25741152339711e-06	0.00321546475080982	3.8201153919804
"MMP2"	"MMP2"	-1.59207654310526	10.7502650012653	-4.79041515649421	5.99954525287081e-06	0.00356143593643211	3.70158434304892
"SUGCT"	"SUGCT"	-0.646559905373205	5.34968682418367	-4.73587455266513	7.46758230018213e-06	0.0043062346732736	3.50517447463314
"C1R"	"C1R"	-1.4512561984689	9.83258098840816	-4.69876806014197	8.65988062591056e-06	0.00485506585202091	3.37231303408912
"LINC00619"	"LINC00619"	0.276535947669858	3.77401298068367	4.66937868429088	9.73341441185041e-06	0.00519345383639078	3.26752858101626
"SLC6A6"	"SLC6A6"	-0.908680739468902	8.97036117091837	-4.66822486895444	9.77809274056631e-06	0.00519345383639078	3.26342287634792
"CAMKV"	"CAMKV"	0.762652244564595	5.63782392285714	4.64886848156087	1.05579499611816e-05	0.00524148931042116	3.19463727934266
"SPANXA2-OT1"	"SPANXA2-OT1"	0.270547944679425	3.91355367532653	4.64742619652448	1.06184138728845e-05	0.00524148931042116	3.18951886039724
"FZD2"	"FZD2"	-0.842447442263158	5.60529826367347	-4.6443524926026	1.07483928455059e-05	0.00524148931042116	3.17861403886029
"NLRP1"	"NLRP1"	-0.902187016224878	5.89642838531633	-4.63434812760156	1.11822209963093e-05	0.00524148931042116	3.1431511578446
"HMCN1"	"HMCN1"	-1.4300174319378	6.52545887770408	-4.63359044147531	1.12157599381246e-05	0.00524148931042116	3.1404672538352
"THBS2"	"THBS2"	-1.29244316177512	10.1063296595918	-4.62887431561826	1.14267219768385e-05	0.00524148931042116	3.12376763236722
"GRP"	"GRP"	-1.18890321283254	5.05682300953061	-4.61275939317911	1.21769965340653e-05	0.00546151824548979	3.06678370316445
"CFH"	"CFH"	-1.50458545872249	9.3652858524898	-4.59920795502198	1.28446794363271e-05	0.00563574271876936	3.01895872640261
"LAT"	"LAT"	-0.841344157698562	6.17854059072449	-4.56808932268157	1.45148756285614e-05	0.00623305818747352	2.90946445101644
"ABCB4"	"ABCB4"	-0.609939139325361	5.55502836021429	-4.51912552569657	1.7576509772114e-05	0.00739055618188702	2.73811384330218
